feature,importance_mean,importance_std
skin_redness_level,0.09458159855971174,0.012689276269871031
odor_level,0.03863843209402493,0.003948171346051488
coat_quality_level,0.03428412623105922,0.005450722267042196
skin_lesion_severity,0.02045583552755097,0.0032826455498485255
model_a_proba_C1,0.013829189167727848,0.002835399753098786
hair_loss_spot_count_level,0.006650835588234331,0.002004528890579092
hair_loss_max_diameter_level,0.0029158740319759585,0.0012571334585456332
total_duration_min,0.0018803216531295686,0.0005025371002102313
duration_rate_per_wear_hour,0.0,0.0
interval_mean,0.0,0.0
interval_std,0.0,0.0
sleep_disruption_count,0.0,0.0
duration_mean,0.0,0.0
duration_median,0.0,0.0
max_event_duration_sec,0.0,0.0
duration_std,0.0,0.0
night_ratio,0.0,0.0
event_count,0.0,0.0
event_rate_per_wear_hour,0.0,0.0
flare_episode_count_90d,0.0,0.0
consecutive_days_above_baseline,0.0,0.0
z_score_vs_self,0.0,0.0
has_any_baseline,0.0,0.0
breed_or_size_class,0.0,0.0
history_days_available,0.0,0.0
wear_completeness_ratio,0.0,0.0
days_since_last_flare_end,0.0,0.0
baseline_ratio_duration_recent3,0.0,0.0
baseline_ratio_count_recent3,0.0,0.0
baseline_ratio_count_recent7,0.0,0.0
baseline_ratio_count_recent14,0.0,0.0
baseline_ratio_count_recent21,0.0,0.0
baseline_ratio_count_recent30,0.0,0.0
baseline_ratio_count_excl_recent14,0.0,0.0
baseline_ratio_count_excl_recent30,0.0,0.0
rolling_mean_3d,0.0,0.0
baseline_ratio_duration_excl_recent30,0.0,0.0
baseline_ratio_duration_excl_recent14,0.0,0.0
baseline_ratio_duration_recent30,0.0,0.0
baseline_ratio_duration_recent21,0.0,0.0
baseline_ratio_duration_recent14,0.0,0.0
baseline_ratio_duration_recent7,0.0,0.0
rolling_mean_7d,0.0,0.0
rolling_std_30d,0.0,0.0
rolling_std_14d,0.0,0.0
rolling_std_7d,0.0,0.0
rolling_std_3d,0.0,0.0
rolling_mean_14d,0.0,0.0
rolling_mean_30d,0.0,0.0
skin_pigment_abnormal,0.0,0.0
model_a_proba_C2,0.0,0.0
